Sample,Timing Type,Environemnt,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
resource_daily_uptime_11,0,4w_16000kb,0.98,0.778,0.522,0.774,0.537,0.605,0.641,0.564,0.512,0.805,0.6,0.701,0.498,0.597,0.572,0.657,0.708,0.634,0.661,0.791,0.604,0.691,0.626,0.579,0.531,0.618,0.757,0.511,0.592,0.562
resource_daily_uptime_11,1,4w_16000kb,345.978,362.975,347.337,336.708,331.469,335.562,336.557,352.769,334.737,422.051,333.319,341.799,369.478,330.648,374.627,369.161,407.671,345.042,327.483,349.373,341.913,370.535,358.172,345.37,332.856,361.848,346.045,344.976,382.625,380.02
resource_daily_uptime_12,0,8w_8000kb,0.919,0.647,0.498,0.502,0.505,0.517,0.578,0.543,0.725,0.443,0.541,0.603,0.875,0.566,0.56,0.579,0.47,0.505,0.548,0.555,0.551,0.51,0.501,0.465,0.886,0.509,0.812,0.562,0.668,0.544
resource_daily_uptime_12,1,8w_8000kb,402.558,353.363,325.564,330.895,338.709,334.291,361.539,349.076,332.538,322.859,335.732,332.813,346.44,378.363,398.678,329.475,324.36,332.782,355.983,366.606,329.034,329.358,334.225,337.05,331.57,330.63,337.168,342.027,334.276,335.039
resource_daily_uptime_13,0,11w_5818kb,1.032,0.723,0.441,0.555,0.594,0.511,0.593,0.666,0.872,0.548,0.538,0.712,0.546,0.567,0.652,0.612,0.685,0.648,0.615,0.516,0.649,0.505,0.696,0.555,0.787,0.561,0.482,0.788,0.597,0.623
resource_daily_uptime_13,1,11w_5818kb,371.963,360.658,332.365,357.417,342.203,352.184,336.265,350.318,344.461,362.634,400.32,365.373,331.46,337.829,349.261,370.5,381.733,381.046,349.61,347.698,349.716,350.354,345.661,333.297,384.054,334.971,355.364,353.595,331.16,383.97
resource_daily_uptime_14,0,30w_2133kb,0.722,0.774,0.514,0.535,0.83,0.574,0.577,0.535,0.603,0.567,0.567,0.563,0.525,0.521,0.51,0.613,0.534,0.54,0.575,0.53,0.531,0.571,0.521,0.66,0.515,0.56,0.732,0.932,0.506,0.56
resource_daily_uptime_14,1,30w_2133kb,379.667,330.736,343.06,332.926,338.271,369.703,376.606,369.999,369.504,336.828,359.224,340.342,348.193,343.676,347.034,344.284,329.326,369.412,352.165,370.394,342.633,324.411,337.209,334.149,338.439,353.249,367.492,353.476,356.121,342.731
resource_daily_uptime_15,0,1w_64000kb,1.128,0.57,0.53,0.54,0.651,0.598,0.459,0.567,0.763,0.657,0.527,0.513,0.523,0.802,0.518,0.523,0.531,0.524,0.512,0.481,0.574,0.496,0.595,0.514,0.624,0.511,0.84,0.524,0.467,0.572
resource_daily_uptime_15,1,1w_64000kb,354.85,338.232,327.71,331.839,342.849,358.342,340.777,344.081,336.425,334.621,335.234,330.883,346.235,338.492,341.153,344.063,346.16,361.298,342.487,403.221,342.043,356.436,329.431,344.005,389.595,345.051,326.683,327.795,336.365,345.357
resource_daily_uptime_16,0,27w_2370kb,0.721,0.595,0.54,0.436,0.572,0.687,0.702,0.565,0.576,0.551,0.519,0.664,0.502,0.577,0.579,0.636,0.674,0.593,0.67,0.453,0.776,0.712,0.546,0.668,0.625,0.742,0.533,0.523,0.577,0.581
resource_daily_uptime_16,1,27w_2370kb,363.163,349.035,348.198,335.009,367.316,373.36,348.862,344.772,340.751,353.147,373.208,366.876,343.924,354.874,369.548,345.252,424.094,396.039,374.169,366.54,359.628,340.827,346.561,350.081,389.27,356.372,339.694,382.934,342.293,350.128
resource_daily_uptime_17,0,21w_3047kb,0.745,0.533,0.504,0.562,0.513,0.689,0.516,0.577,0.518,0.614,0.565,1.099,0.548,0.903,0.563,0.607,0.639,0.536,0.708,0.724,0.61,0.457,0.524,0.576,0.431,0.426,0.558,0.544,0.52,0.611
resource_daily_uptime_17,1,21w_3047kb,337.696,328.803,350.945,346.016,343.617,373.009,347.324,349.464,332.509,327.463,332.999,372.733,340.829,321.226,328.863,333.7,340.983,372.265,359.38,362.862,324.689,328.067,355.554,336.894,405.212,336.045,336.315,332.933,324.616,378.343
resource_daily_uptime_18,0,17w_3764kb,0.792,0.548,0.902,1.39,0.558,0.57,0.559,0.515,0.522,0.572,0.441,0.589,0.715,0.55,0.452,0.531,0.574,0.513,0.576,0.825,0.718,0.631,0.522,1.153,0.784,0.622,1.035,0.741,0.517,0.609
resource_daily_uptime_18,1,17w_3764kb,410.861,368.416,339.127,344.375,383.238,342.588,357.091,369.426,354.943,380.366,372.11,359.273,350.159,349.97,358.009,328.636,361.21,363.866,345.539,357.42,394.865,355.846,356.521,390.09,362.888,355.482,365.643,334.296,329.93,367.611
resource_daily_uptime_19,0,32w_2000kb,0.676,0.602,0.697,0.699,0.802,0.543,0.514,0.428,0.624,0.504,0.545,0.561,0.589,0.643,0.473,0.569,0.628,0.553,0.671,0.46,0.576,0.731,0.528,0.559,0.557,0.537,0.555,0.561,0.573,0.515
resource_daily_uptime_19,1,32w_2000kb,342.753,348.083,347.308,343.949,345.212,331.832,335.06,350.443,355.286,333.233,326.401,325.541,337.818,324.956,329.169,352.84,332.19,327.263,347.257,338.723,335.277,345.059,338.726,367.742,352.304,324.222,341.771,324.208,329.998,352.07
resource_daily_uptime_20,0,18w_3555kb,0.668,0.495,0.763,0.508,0.573,0.725,0.678,0.578,0.874,0.465,0.549,0.567,0.637,0.604,0.567,0.592,0.681,0.606,0.469,0.538,0.687,0.634,0.557,0.491,0.657,0.625,0.528,0.593,0.889,0.734
resource_daily_uptime_20,1,18w_3555kb,336.146,325.857,350.485,337.223,356.546,371.875,393.137,369.433,343.023,337.488,334.186,350.444,356.748,339.037,350.902,363.907,340.331,345.916,347.318,354.311,347.987,334.796,341.627,350.592,350.509,359.168,380.858,378.673,369.167,334.656
resource_daily_uptime_21,0,29w_2206kb,0.652,0.734,0.61,0.441,0.539,0.458,0.512,0.628,0.558,0.545,0.512,0.644,0.595,0.622,0.504,0.592,0.545,0.537,0.497,0.497,0.555,0.512,0.61,0.567,0.703,0.562,0.665,0.561,0.501,0.564
resource_daily_uptime_21,1,29w_2206kb,366.601,348.899,334.396,337.973,366.415,357.475,343.569,334.024,349.497,329.189,330.017,373.843,320.932,331.774,335.424,329.649,365.553,339.892,330.531,327.165,332.377,362.887,369.264,351.008,343.487,362.609,327.78,366.061,354.296,341.488
resource_daily_uptime_22,0,28w_2285kb,0.703,0.999,0.517,0.639,0.527,0.557,0.693,0.514,0.514,0.593,0.532,0.567,0.579,0.696,0.869,0.619,0.561,0.562,0.604,0.848,0.518,0.561,0.659,0.797,0.652,0.666,0.482,0.564,0.593,0.574
resource_daily_uptime_22,1,28w_2285kb,336.948,337.54,328.304,340.899,334.207,332.963,372.657,378.68,373.992,344.089,328.157,341.243,337.387,359.761,334.043,340.538,343.936,369.331,380.142,370.559,373.026,360.455,336.939,358.147,335.105,362.997,356.326,351.364,335.166,348.363
resource_daily_uptime_23,0,7w_9142kb,0.851,0.465,0.541,0.532,0.522,0.813,0.534,0.634,0.585,0.526,0.635,0.543,0.622,0.546,0.702,0.477,0.614,0.437,0.502,0.551,0.568,0.563,0.631,0.521,0.547,0.66,0.542,0.442,0.78,0.458
resource_daily_uptime_23,1,7w_9142kb,350.105,382.656,340.306,336.33,359.764,395.372,334.627,330.436,333.609,337.269,329.219,321.237,331.778,333.41,333.201,317.999,321.397,321.658,323.751,321.123,365.024,342.717,327.959,323.637,326.683,375.886,324.414,348.824,357.871,329.755
resource_daily_uptime_24,0,26w_2461kb,0.635,0.577,0.615,0.779,0.566,0.822,0.707,0.705,0.51,0.548,0.56,0.493,0.649,0.659,0.546,0.694,0.54,0.541,0.675,0.524,0.629,0.568,0.433,0.829,0.538,0.654,0.897,0.632,0.517,0.836
resource_daily_uptime_24,1,26w_2461kb,350.071,350.236,348.324,379.067,350.488,326.417,359.849,342.817,341.489,338.238,328.65,337.136,368.328,408.666,402.547,357.391,357.694,368.796,366.507,349.097,429.573,355.224,330.205,358.018,378.187,356.885,362.363,340.695,364.566,356.432
resource_daily_uptime_25,0,22w_2909kb,0.711,0.542,0.589,0.531,0.513,0.938,0.68,0.619,0.546,0.553,0.452,0.517,0.734,0.574,0.506,0.53,0.662,0.567,1.162,0.68,0.864,0.503,0.649,0.757,0.512,0.718,0.57,0.528,0.516,0.505
resource_daily_uptime_25,1,22w_2909kb,363.341,323.352,330.704,329.791,329.287,345.521,347.075,334.064,344.629,331.883,365.38,375.696,350.176,327.943,330.613,327.301,326.277,341.238,346.206,344.116,324.102,321.923,340.383,349.656,399.771,366.017,349.714,336.224,356.472,322.629
