Sample,Timing Type,Environemnt,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
global_uptime_10,0,24w_2666kb,0.649,0.493,0.458,0.506,0.525,0.525,0.475,0.554,0.517,0.595,1.129,0.508,0.512,0.557,0.534,0.538,0.465,0.678,0.548,0.511,0.545,0.503,0.573,0.507,0.501,0.648,0.556,0.525,0.511,0.551
global_uptime_10,1,24w_2666kb,3116.062,3181.559,3165.634,3159.264,3301.743,3197.928,3265.039,3203.838,3211.563,3306.826,3271.428,3259.839,3203.901,3259.902,3180.568,3253.131,3242.973,3151.857,3309.282,3201.689,3202.858,3229.11,3394.284,3294.621,3252.516,3267.51,3291.97,3268.152,3224.72,3239.18
global_uptime_11,0,4w_16000kb,0.775,0.518,0.517,0.743,0.496,0.545,0.575,0.484,0.512,0.522,0.581,0.71,0.691,0.639,0.572,0.575,0.645,0.713,0.565,0.53,0.558,0.561,0.567,0.561,0.67,0.681,0.657,0.544,0.501,0.487
global_uptime_11,1,4w_16000kb,3276.548,3125.972,3147.16,3131.325,3117.686,3160.028,3108.208,3216.157,3137.804,3198.01,3190.056,3122.151,3064.535,3094.198,3029.857,3068.781,3069.257,3050.985,3205.495,3080.845,3119.816,3095.466,3087.141,3117.127,3121.476,3163.419,3090.128,3158.85,3120.822,3142.475
global_uptime_12,0,8w_8000kb,0.683,0.608,0.829,0.591,0.594,0.516,0.619,0.522,0.752,0.604,0.486,0.496,0.597,0.579,0.5,0.497,0.781,0.573,0.474,0.531,0.476,0.494,0.607,0.549,0.499,0.551,0.602,0.572,0.565,0.889
global_uptime_12,1,8w_8000kb,3282.578,3328.458,3234.596,3224.87,3206.693,3171.14,3268.291,3197.868,3241.466,3170.467,3241.935,3258.826,3291.49,3112.607,3205.582,3145.59,3156.594,3223.928,3324.309,3249.811,3262.051,3217.775,3130.387,3194.704,3239.447,3274.392,3265.674,3303.653,3239.652,3165.205
global_uptime_13,0,11w_5818kb,0.668,0.632,0.518,0.489,0.575,0.512,1.277,0.663,0.885,0.654,0.579,0.515,0.512,0.648,0.553,0.496,0.484,0.509,0.516,0.505,0.592,0.535,0.515,0.659,0.722,0.52,0.884,0.572,0.574,0.486
global_uptime_13,1,11w_5818kb,3310.519,3277.059,3305.723,3190.142,3375.912,3255.146,3376.043,3302.975,3356.293,3409.988,3434.664,3352.197,3352.892,3257.38,3267.389,3248.038,3237.275,3349.525,3257.231,3283.542,3195.382,3270.389,3306.625,3353.356,3223.834,3319.857,3393.547,3334.307,3335.126,3243.489
global_uptime_14,0,30w_2133kb,0.572,0.999,0.768,0.521,0.523,0.493,0.603,0.512,0.584,0.913,0.677,0.616,0.497,0.711,0.655,0.716,0.451,0.734,0.525,0.533,0.545,0.524,0.51,0.654,0.591,0.552,1.055,0.576,0.583,0.675
global_uptime_14,1,30w_2133kb,3234.401,3152.001,3159.947,3173.018,3210.77,3304.886,3323.963,3233.145,3260.471,3273.377,3238.099,3390.722,3216.197,3266.885,3262.426,3313.346,3219.642,3303.31,3259.34,3291.33,3233.53,3315.354,3334.563,3344.657,3414.884,3224.446,3178.926,3342.513,3286.365,3316.629
