Sample,Timing Type,Environemnt,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
resource_uptime_11,0,4w_16000kb,0.742,0.509,0.598,0.581,0.649,0.642,1.019,0.536,0.605,0.846,0.597,0.545,0.917,0.537,0.505,0.509,0.531,0.721,0.61,0.64,0.465,0.693,0.647,0.66,0.642,0.559,0.567,0.558,0.579,0.517
resource_uptime_11,1,4w_16000kb,69.946,62.301,56.823,55.852,62.418,58.632,61.03,57.473,58.234,59.805,58.343,55.341,58.943,56.926,54.912,59.075,66.139,60.219,57.794,59.178,69.023,62.237,58.682,61.435,65.513,57.596,57.334,58.438,57.948,55.178
resource_uptime_12,0,8w_8000kb,0.817,0.572,0.538,0.513,0.724,0.706,0.544,0.556,0.561,0.757,0.732,0.872,0.581,0.562,0.801,0.533,0.559,0.742,0.598,0.555,0.736,0.527,0.665,0.934,0.935,0.718,0.463,0.671,0.623,0.522
resource_uptime_12,1,8w_8000kb,64.508,57.655,59.391,58.839,67.469,67.447,59.533,60.774,61.911,62.306,57.467,61.997,57.184,57.87,61.501,56.882,57.263,59.307,56.365,58.154,56.79,59.474,59.452,59.167,61.934,55.063,61.085,60.106,58.56,57.962
resource_uptime_13,0,11w_5818kb,0.79,0.567,0.669,0.805,0.616,0.656,0.545,0.577,0.613,0.566,0.592,0.806,0.631,0.454,0.514,0.552,0.551,0.578,0.932,0.747,0.533,0.604,0.519,0.603,0.493,0.612,0.56,0.603,0.536,0.547
resource_uptime_13,1,11w_5818kb,62.417,56.638,73.493,60.293,59.404,60.346,57.92,58.099,57.908,60.049,58.47,60.537,57.464,68.725,68.961,56.75,59.059,54.806,61.719,58.795,59.42,60.7,57.115,56.867,60.132,60.112,56.741,66.17,64.55,59.311
resource_uptime_14,0,30w_2133kb,0.801,0.606,0.704,0.538,0.542,0.776,0.619,0.564,0.792,0.804,0.574,0.561,0.522,0.939,0.569,0.604,0.58,0.738,0.657,0.592,0.552,0.523,0.443,0.646,0.582,0.685,0.659,1.044,0.615,0.595
resource_uptime_14,1,30w_2133kb,65.538,58.853,57.33,56.369,56.391,58.651,55.087,54.538,59.805,57.493,59.741,58.383,65.068,59.085,66.311,60.537,56.375,59.658,59.869,58.422,58.228,58.458,59.145,56.498,56.781,62.559,66.973,57.083,57.574,62.671
resource_uptime_15,0,1w_64000kb,1.159,0.602,0.539,0.624,0.466,0.575,0.824,0.545,0.537,0.54,0.567,0.572,0.563,0.533,0.586,0.536,0.573,0.646,0.783,0.826,0.678,0.532,0.62,0.624,0.497,0.534,0.549,0.718,0.653,0.545
resource_uptime_15,1,1w_64000kb,83.79,84.147,82.115,79.825,79.453,78.502,77.535,76.476,89.939,77.984,80.182,79.526,81.369,77.541,77.033,76.496,88.922,86.301,78.923,82.423,76.26,74.597,84.061,80.109,77.448,76.243,79.648,76.192,76.644,77.975
