Sample,Timing Type,Environemnt,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
group_resource_daily_uptime_0,0,19w_3368kb,1.254,0.902,0.919,0.987,0.979,0.928,0.928,0.921,1.182,1.292,0.951,0.876,0.941,1.032,0.984,0.864,1.145,0.882,1.005,0.875,1.015,0.906,0.961,0.939,1.045,0.902,1.126,0.792,0.727,1.112
group_resource_daily_uptime_0,1,19w_3368kb,9836.97,10019.005,9814.78,9895.679,9993.224,10171.559,9936.683,9896.944,10016.081,9959.22,9860.777,10115.356,9921.008,9828.425,9892.457,9929.966,10035.21,9988.645,10089.805,9880.039,10192.705,9892.818,10117.132,9993.183,10094.035,10108.189,9942.677,9914.747,9889.501,10099.981
group_resource_daily_uptime_1,0,23w_2782kb,1.152,1.12,0.932,0.907,1.074,1.049,0.875,0.966,1.097,1.041,0.862,0.894,0.925,0.911,1.024,0.844,0.954,0.853,1.091,0.986,1.003,1.496,1.032,1.106,0.86,1.218,0.764,0.93,0.737,0.873
group_resource_daily_uptime_1,1,23w_2782kb,10632.167,10453.718,10626.795,10577.927,10524.224,10535.022,10870.986,10639.782,10656.814,10482.225,10774.078,10660.492,10744.358,10682.06,10676.144,10814.072,10653.784,10720.672,10784.832,10610.438,10587.318,10805.963,10673.45,10710.86,10623.451,10740.597,10464.823,10785.152,10645.322,10898.82
group_resource_daily_uptime_2,0,5w_12800kb,2.365,0.715,0.954,1.095,0.925,1.11,0.971,0.893,0.832,1.16,0.889,0.949,0.855,1.083,1.284,1.156,0.954,0.872,0.868,0.91,1.306,0.922,0.971,1.024,1.169,0.928,0.972,1.539,1.357,1.006
group_resource_daily_uptime_2,1,5w_12800kb,9233.353,9011.181,9080.728,8985.563,9141.55,9113.67,9113.566,9236.934,8996.002,9240.032,9152.229,9045.372,8979.721,9010.962,9113.65,9073.177,9221.982,9197.278,8993.082,9054.42,9110.64,9196.819,9260.595,9354.349,9243.035,9229.026,9312.282,9082.14,9059.458,9393.965
group_resource_daily_uptime_3,0,16w_4000kb,1.297,0.891,0.879,1.02,0.748,1.096,0.859,0.901,0.842,1.003,0.849,0.711,0.833,0.888,0.881,1.404,0.939,1.05,1.052,0.9,1.059,0.88,0.945,0.837,1.35,0.882,1.05,0.939,0.855,0.835
group_resource_daily_uptime_3,1,16w_4000kb,10154.096,10099.931,10327.303,10273.841,10170.483,10049.789,10114.423,9864.841,10019.429,10166.356,9982.275,9884.403,10000.616,10022.707,10111.843,9915.646,10045.945,9960.888,10084.98,10066.113,9810.436,9889.337,10125.116,9884.924,10055.343,10098.414,9931.772,9909.545,9902.192,9848.16
group_resource_daily_uptime_4,0,20w_3200kb,1.379,1.133,1.11,0.875,0.997,0.89,1.071,0.925,0.927,1.228,1.27,0.966,0.919,0.91,0.843,0.758,0.891,0.756,0.941,0.86,0.793,0.859,1.012,0.942,1.426,0.911,1.085,0.948,0.843,0.889
group_resource_daily_uptime_4,1,20w_3200kb,10567.569,10464.438,10530.408,10367.644,10154.124,10195.355,10601.446,10583.476,10458.291,10482.228,10350.91,10538.471,10569.719,10402.151,10238.05,10637.855,10489.93,10621.398,10635.683,10394.846,10523.45,10315.098,10624.296,10309.254,10440.075,10585.348,10556.388,10256.38,10495.939,10426.08
group_resource_daily_uptime_5,0,2w_32000kb,1.131,0.927,1.077,1.107,0.963,1.049,1.073,0.826,0.948,0.842,0.956,1.333,0.874,1.337,0.83,1.236,0.926,0.951,1.083,1.253,1.038,1.711,1.081,0.924,0.74,0.85,0.908,0.89,1.189,1.036
